     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
    49  3.9243836292D-06  1.0221830998D-05 -1.6351609102D-03  3.0535446440D-03  6.5222860881D+00  4.0544426368D+01
    50  3.9324562131D-06  1.0245196582D-05 -1.6385244862D-03  3.0570326274D-03  6.5222860844D+00  4.0544426322D+01
    51  3.9405454026D-06  1.0268615575D-05 -1.6418949814D-03  3.0605245952D-03  6.5222860807D+00  4.0544426276D+01
    52  3.9486512319D-06  1.0292088102D-05 -1.6452724097D-03  3.0640205517D-03  6.5222860770D+00  4.0544426230D+01
    53  3.9567737352D-06  1.0315614282D-05 -1.6486567857D-03  3.0675205015D-03  6.5222860733D+00  4.0544426184D+01
    54  3.9649129464D-06  1.0339194241D-05 -1.6520481232D-03  3.0710244492D-03  6.5222860696D+00  4.0544426138D+01
    55  3.9730689006D-06  1.0362828099D-05 -1.6554464369D-03  3.0745323994D-03  6.5222860658D+00  4.0544426091D+01
    56  3.9812416317D-06  1.0386515981D-05 -1.6588517410D-03  3.0780443566D-03  6.5222860621D+00  4.0544426045D+01
    57  3.9894311742D-06  1.0410258010D-05 -1.6622640500D-03  3.0815603254D-03  6.5222860584D+00  4.0544425999D+01
    58  3.9976375629D-06  1.0434054310D-05 -1.6656833782D-03  3.0850803103D-03  6.5222860545D+00  4.0544425951D+01
    59  4.0058608326D-06  1.0457905004D-05 -1.6691097401D-03  3.0886043162D-03  6.5222860508D+00  4.0544425904D+01
    60  4.0141010178D-06  1.0481810218D-05 -1.6725431502D-03  3.0921323473D-03  6.5222860471D+00  4.0544425857D+01
    61  4.0223581533D-06  1.0505770076D-05 -1.6759836228D-03  3.0956644084D-03  6.5222860432D+00  4.0544425811D+01
    62  4.0306322739D-06  1.0529784702D-05 -1.6794311727D-03  3.0992005041D-03  6.5222860395D+00  4.0544425764D+01
    63  4.0389234147D-06  1.0553854222D-05 -1.6828858143D-03  3.1027406389D-03  6.5222860357D+00  4.0544425716D+01
    64  4.0472316108D-06  1.0577978761D-05 -1.6863475622D-03  3.1062848177D-03  6.5222860318D+00  4.0544425668D+01
    65  4.0555568970D-06  1.0602158445D-05 -1.6898164310D-03  3.1098330447D-03  6.5222860281D+00  4.0544425621D+01
    66  4.0638993084D-06  1.0626393401D-05 -1.6932924355D-03  3.1133853248D-03  6.5222860242D+00  4.0544425574D+01
