     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
   446  8.8729945896D-06  2.5304264489D-05 -3.6970828912D-03  4.8043739596D-03  6.5222837058D+00  4.0544396749D+01
   447  8.8912466262D-06  2.5362106254D-05 -3.7046879122D-03  4.8098618648D-03  6.5222836966D+00  4.0544396637D+01
   448  8.9095362078D-06  2.5420080236D-05 -3.7123085767D-03  4.8153560386D-03  6.5222836875D+00  4.0544396523D+01
   449  8.9278634115D-06  2.5478186738D-05 -3.7199449174D-03  4.8208564883D-03  6.5222836784D+00  4.0544396408D+01
   450  8.9462283150D-06  2.5536426063D-05 -3.7275969661D-03  4.8263632211D-03  6.5222836691D+00  4.0544396294D+01
   451  8.9646309957D-06  2.5594798514D-05 -3.7352647556D-03  4.8318762439D-03  6.5222836598D+00  4.0544396179D+01
   452  8.9830715313D-06  2.5653304395D-05 -3.7429483177D-03  4.8373955642D-03  6.5222836507D+00  4.0544396065D+01
   453  9.0015499998D-06  2.5711944012D-05 -3.7506476855D-03  4.8429211889D-03  6.5222836414D+00  4.0544395950D+01
   454  9.0200664789D-06  2.5770717671D-05 -3.7583628907D-03  4.8484531255D-03  6.5222836321D+00  4.0544395833D+01
   455  9.0386210469D-06  2.5829625676D-05 -3.7660939666D-03  4.8539913810D-03  6.5222836228D+00  4.0544395718D+01
   456  9.0572137824D-06  2.5888668337D-05 -3.7738409457D-03  4.8595359627D-03  6.5222836134D+00  4.0544395602D+01
   457  9.0758447637D-06  2.5947845961D-05 -3.7816038605D-03  4.8650868778D-03  6.5222836042D+00  4.0544395486D+01
   458  9.0945140697D-06  2.6007158856D-05 -3.7893827437D-03  4.8706441335D-03  6.5222835948D+00  4.0544395370D+01
   459  9.1132217790D-06  2.6066607330D-05 -3.7971776286D-03  4.8762077371D-03  6.5222835854D+00  4.0544395252D+01
   460  9.1319679705D-06  2.6126191695D-05 -3.8049885477D-03  4.8817776960D-03  6.5222835759D+00  4.0544395136D+01
   461  9.1507527237D-06  2.6185912261D-05 -3.8128155343D-03  4.8873540171D-03  6.5222835665D+00  4.0544395019D+01
   462  9.1695761178D-06  2.6245769339D-05 -3.8206586212D-03  4.8929367079D-03  6.5222835570D+00  4.0544394901D+01
   463  9.1884382320D-06  2.6305763242D-05 -3.8285178415D-03  4.8985257757D-03  6.5222835476D+00  4.0544394783D+01
   464  9.2073391464D-06  2.6365894281D-05 -3.8363932286D-03  4.9041212278D-03  6.5222835381D+00  4.0544394665D+01
   465  9.2262789402D-06  2.6426162770D-05 -3.8442848154D-03  4.9097230712D-03  6.5222835285D+00  4.0544394547D+01
   466  9.2452576941D-06  2.6486569025D-05 -3.8521926360D-03  4.9153313136D-03  6.5222835190D+00  4.0544394428D+01
   467  9.2642754879D-06  2.6547113359D-05 -3.8601167229D-03  4.9209459621D-03  6.5222835094D+00  4.0544394309D+01
   468  9.2833324020D-06  2.6607796088D-05 -3.8680571099D-03  4.9265670239D-03  6.5222834999D+00  4.0544394190D+01
   469  9.3024285165D-06  2.6668617528D-05 -3.8760138307D-03  4.9321945066D-03  6.5222834903D+00  4.0544394071D+01
   470  9.3215639127D-06  2.6729577998D-05 -3.8839869187D-03  4.9378284173D-03  6.5222834807D+00  4.0544393951D+01
   471  9.3407386707D-06  2.6790677814D-05 -3.8919764074D-03  4.9434687636D-03  6.5222834710D+00  4.0544393831D+01
   472  9.3599528718D-06  2.6851917294D-05 -3.8999823310D-03  4.9491155527D-03  6.5222834613D+00  4.0544393710D+01
   473  9.3792065973D-06  2.6913296759D-05 -3.9080047229D-03  4.9547687918D-03  6.5222834516D+00  4.0544393590D+01
   474  9.3984999282D-06  2.6974816527D-05 -3.9160436173D-03  4.9604284885D-03  6.5222834419D+00  4.0544393469D+01
   475  9.4178329464D-06  2.7036476921D-05 -3.9240990478D-03  4.9660946501D-03  6.5222834322D+00  4.0544393348D+01
   476  9.4372057329D-06  2.7098278261D-05 -3.9321710488D-03  4.9717672840D-03  6.5222834225D+00  4.0544393227D+01
   477  9.4566183699D-06  2.7160220870D-05 -3.9402596542D-03  4.9774463976D-03  6.5222834126D+00  4.0544393105D+01
   478  9.4760709396D-06  2.7222305070D-05 -3.9483648982D-03  4.9831319982D-03  6.5222834029D+00  4.0544392983D+01
   479  9.4955635236D-06  2.7284531185D-05 -3.9564868146D-03  4.9888240933D-03  6.5222833930D+00  4.0544392861D+01
   480  9.5150962044D-06  2.7346899540D-05 -3.9646254382D-03  4.9945226904D-03  6.5222833831D+00  4.0544392738D+01
   481  9.5346690648D-06  2.7409410459D-05 -3.9727808034D-03  5.0002277968D-03  6.5222833733D+00  4.0544392616D+01
   482  9.5542821870D-06  2.7472064268D-05 -3.9809529444D-03  5.0059394199D-03  6.5222833634D+00  4.0544392493D+01
   483  9.5739356541D-06  2.7534861295D-05 -3.9891418958D-03  5.0116575673D-03  6.5222833534D+00  4.0544392370D+01
   484  9.5936295492D-06  2.7597801866D-05 -3.9973476921D-03  5.0173822463D-03  6.5222833435D+00  4.0544392245D+01
   485  9.6133639551D-06  2.7660886310D-05 -4.0055703680D-03  5.0231134645D-03  6.5222833335D+00  4.0544392122D+01
   486  9.6331389552D-06  2.7724114955D-05 -4.0138099582D-03  5.0288512292D-03  6.5222833235D+00  4.0544391998D+01
   487  9.6529546332D-06  2.7787488132D-05 -4.0220664975D-03  5.0345955481D-03  6.5222833135D+00  4.0544391873D+01
   488  9.6728110728D-06  2.7851006170D-05 -4.0303400209D-03  5.0403464285D-03  6.5222833035D+00  4.0544391748D+01
   489  9.6927083577D-06  2.7914669400D-05 -4.0386305634D-03  5.0461038780D-03  6.5222832934D+00  4.0544391623D+01
   490  9.7126465719D-06  2.7978478155D-05 -4.0469381595D-03  5.0518679040D-03  6.5222832833D+00  4.0544391499D+01
   491  9.7326257997D-06  2.8042432767D-05 -4.0552628447D-03  5.0576385141D-03  6.5222832732D+00  4.0544391372D+01
   492  9.7526461254D-06  2.8106533570D-05 -4.0636046543D-03  5.0634157157D-03  6.5222832631D+00  4.0544391247D+01
   493  9.7727076336D-06  2.8170780898D-05 -4.0719636230D-03  5.0691995165D-03  6.5222832530D+00  4.0544391120D+01
   494  9.7928104089D-06  2.8235175084D-05 -4.0803397866D-03  5.0749899240D-03  6.5222832428D+00  4.0544390993D+01
   495  9.8129545362D-06  2.8299716467D-05 -4.0887331799D-03  5.0807869456D-03  6.5222832326D+00  4.0544390867D+01
   496  9.8331401007D-06  2.8364405381D-05 -4.0971438391D-03  5.0865905892D-03  6.5222832224D+00  4.0544390740D+01
   497  9.8533671876D-06  2.8429242165D-05 -4.1055717990D-03  5.0924008619D-03  6.5222832121D+00  4.0544390613D+01
   498  9.8736358821D-06  2.8494227155D-05 -4.1140170958D-03  5.0982177715D-03  6.5222832019D+00  4.0544390485D+01
   499  9.8939462703D-06  2.8559360691D-05 -4.1224797649D-03  5.1040413257D-03  6.5222831916D+00  4.0544390357D+01
   500  9.9142984374D-06  2.8624643113D-05 -4.1309598416D-03  5.1098715319D-03  6.5222831814D+00  4.0544390229D+01
   501  9.9346924695D-06  2.8690074760D-05 -4.1394573624D-03  5.1157083978D-03  6.5222831710D+00  4.0544390101D+01
   502  9.9551284530D-06  2.8755655974D-05 -4.1479723630D-03  5.1215519309D-03  6.5222831606D+00  4.0544389972D+01
   503  9.9756064737D-06  2.8821387096D-05 -4.1565048790D-03  5.1274021390D-03  6.5222831502D+00  4.0544389843D+01
   504  9.9961266186D-06  2.8887268470D-05 -4.1650549469D-03  5.1332590295D-03  6.5222831399D+00  4.0544389714D+01
   505  1.0016688974D-05  2.8953300440D-05 -4.1736226024D-03  5.1391226102D-03  6.5222831294D+00  4.0544389584D+01
   506  1.0037293627D-05  2.9019483347D-05 -4.1822078819D-03  5.1449928887D-03  6.5222831189D+00  4.0544389454D+01
   507  1.0057940664D-05  2.9085817539D-05 -4.1908108217D-03  5.1508698727D-03  6.5222831085D+00  4.0544389324D+01
   508  1.0078630173D-05  2.9152303361D-05 -4.1994314581D-03  5.1567535697D-03  6.5222830979D+00  4.0544389193D+01
   509  1.0099362241D-05  2.9218941159D-05 -4.2080698272D-03  5.1626439875D-03  6.5222830874D+00  4.0544389063D+01
   510  1.0120136955D-05  2.9285731282D-05 -4.2167259658D-03  5.1685411338D-03  6.5222830769D+00  4.0544388931D+01
   511  1.0140954404D-05  2.9352674077D-05 -4.2253999104D-03  5.1744450162D-03  6.5222830663D+00  4.0544388799D+01
   512  1.0161814675D-05  2.9419769891D-05 -4.2340916979D-03  5.1803556423D-03  6.5222830557D+00  4.0544388668D+01
   513  1.0182717856D-05  2.9487019078D-05 -4.2428013643D-03  5.1862730201D-03  6.5222830451D+00  4.0544388536D+01
   514  1.0203664035D-05  2.9554421986D-05 -4.2515289469D-03  5.1921971570D-03  6.5222830344D+00  4.0544388403D+01
   515  1.0224653302D-05  2.9621978966D-05 -4.2602744827D-03  5.1981280610D-03  6.5222830237D+00  4.0544388271D+01
   516  1.0245685744D-05  2.9689690372D-05 -4.2690380080D-03  5.2040657396D-03  6.5222830131D+00  4.0544388137D+01
   517  1.0266761451D-05  2.9757556556D-05 -4.2778195606D-03  5.2100102007D-03  6.5222830023D+00  4.0544388004D+01
   518  1.0287880510D-05  2.9825577871D-05 -4.2866191767D-03  5.2159614519D-03  6.5222829916D+00  4.0544387870D+01
   519  1.0309043013D-05  2.9893754673D-05 -4.2954368942D-03  5.2219195010D-03  6.5222829809D+00  4.0544387737D+01
   520  1.0330249048D-05  2.9962087316D-05 -4.3042727501D-03  5.2278843560D-03  6.5222829701D+00  4.0544387602D+01
   521  1.0351498704D-05  3.0030576157D-05 -4.3131267814D-03  5.2338560242D-03  6.5222829593D+00  4.0544387468D+01
   522  1.0372792071D-05  3.0099221554D-05 -4.3219990260D-03  5.2398345139D-03  6.5222829484D+00  4.0544387333D+01
   523  1.0394129239D-05  3.0168023864D-05 -4.3308895210D-03  5.2458198325D-03  6.5222829375D+00  4.0544387198D+01
   524  1.0415510299D-05  3.0236983445D-05 -4.3397983041D-03  5.2518119879D-03  6.5222829267D+00  4.0544387063D+01
   525  1.0436935340D-05  3.0306100657D-05 -4.3487254126D-03  5.2578109881D-03  6.5222829157D+00  4.0544386927D+01
   526  1.0458404453D-05  3.0375375861D-05 -4.3576708848D-03  5.2638168408D-03  6.5222829048D+00  4.0544386791D+01
   527  1.0479917729D-05  3.0444809417D-05 -4.3666347580D-03  5.2698295537D-03  6.5222828938D+00  4.0544386655D+01
   528  1.0501475258D-05  3.0514401688D-05 -4.3756170703D-03  5.2758491347D-03  6.5222828828D+00  4.0544386518D+01
   529  1.0523077132D-05  3.0584153036D-05 -4.3846178594D-03  5.2818755918D-03  6.5222828718D+00  4.0544386381D+01
   530  1.0544723442D-05  3.0654063825D-05 -4.3936371636D-03  5.2879089326D-03  6.5222828608D+00  4.0544386243D+01
   531  1.0566414279D-05  3.0724134421D-05 -4.4026750210D-03  5.2939491651D-03  6.5222828497D+00  4.0544386106D+01
   532  1.0588149734D-05  3.0794365186D-05 -4.4117314694D-03  5.2999962973D-03  6.5222828386D+00  4.0544385968D+01
   533  1.0609929900D-05  3.0864756489D-05 -4.4208065470D-03  5.3060503369D-03  6.5222828275D+00  4.0544385830D+01
   534  1.0631754869D-05  3.0935308694D-05 -4.4299002924D-03  5.3121112919D-03  6.5222828163D+00  4.0544385691D+01
   535  1.0653624732D-05  3.1006022171D-05 -4.4390127444D-03  5.3181791700D-03  6.5222828051D+00  4.0544385553D+01
   536  1.0675539582D-05  3.1076897290D-05 -4.4481439405D-03  5.3242539794D-03  6.5222827939D+00  4.0544385414D+01
   537  1.0697499512D-05  3.1147934417D-05 -4.4572939199D-03  5.3303357278D-03  6.5222827827D+00  4.0544385274D+01
   538  1.0719504614D-05  3.1219133925D-05 -4.4664627215D-03  5.3364244232D-03  6.5222827715D+00  4.0544385134D+01
   539  1.0741554982D-05  3.1290496185D-05 -4.4756503831D-03  5.3425200735D-03  6.5222827602D+00  4.0544384994D+01
   540  1.0763650707D-05  3.1362021567D-05 -4.4848569445D-03  5.3486226867D-03  6.5222827489D+00  4.0544384853D+01
   541  1.0785791884D-05  3.1433710445D-05 -4.4940824441D-03  5.3547322707D-03  6.5222827376D+00  4.0544384713D+01
   542  1.0807978607D-05  3.1505563193D-05 -4.5033269205D-03  5.3608488335D-03  6.5222827262D+00  4.0544384571D+01
   543  1.0830210968D-05  3.1577580186D-05 -4.5125904135D-03  5.3669723832D-03  6.5222827149D+00  4.0544384430D+01
   544  1.0852489062D-05  3.1649761798D-05 -4.5218729616D-03  5.3731029276D-03  6.5222827035D+00  4.0544384288D+01
   545  1.0874812982D-05  3.1722108407D-05 -4.5311746040D-03  5.3792404745D-03  6.5222826921D+00  4.0544384147D+01
   546  1.0897182824D-05  3.1794620390D-05 -4.5404953806D-03  5.3853850324D-03  6.5222826806D+00  4.0544384004D+01
   547  1.0919598681D-05  3.1867298122D-05 -4.5498353303D-03  5.3915366089D-03  6.5222826691D+00  4.0544383861D+01
   548  1.0942060649D-05  3.1940141986D-05 -4.5591944926D-03  5.3976952122D-03  6.5222826575D+00  4.0544383719D+01
   549  1.0964568821D-05  3.2013152359D-05 -4.5685729070D-03  5.4038608502D-03  6.5222826461D+00  4.0544383575D+01
   550  1.0987123293D-05  3.2086329624D-05 -4.5779706130D-03  5.4100335312D-03  6.5222826345D+00  4.0544383431D+01
   551  1.1009724160D-05  3.2159674160D-05 -4.5873876505D-03  5.4162132629D-03  6.5222826229D+00  4.0544383287D+01
   552  1.1032371519D-05  3.2233186351D-05 -4.5968240591D-03  5.4224000536D-03  6.5222826114D+00  4.0544383143D+01
   553  1.1055065463D-05  3.2306866580D-05 -4.6062798787D-03  5.4285939112D-03  6.5222825997D+00  4.0544382998D+01
   554  1.1077806090D-05  3.2380715230D-05 -4.6157551494D-03  5.4347948439D-03  6.5222825880D+00  4.0544382853D+01
   555  1.1100593495D-05  3.2454732686D-05 -4.6252499112D-03  5.4410028597D-03  6.5222825764D+00  4.0544382707D+01
   556  1.1123427775D-05  3.2528919337D-05 -4.6347642038D-03  5.4472179669D-03  6.5222825646D+00  4.0544382562D+01
   557  1.1146309025D-05  3.2603275566D-05 -4.6442980677D-03  5.4534401732D-03  6.5222825528D+00  4.0544382416D+01
   558  1.1169237343D-05  3.2677801761D-05 -4.6538515432D-03  5.4596694871D-03  6.5222825411D+00  4.0544382270D+01
   559  1.1192212825D-05  3.2752498313D-05 -4.6634246704D-03  5.4659059164D-03  6.5222825292D+00  4.0544382123D+01
   560  1.1215235568D-05  3.2827365609D-05 -4.6730174900D-03  5.4721494695D-03  6.5222825174D+00  4.0544381975D+01
   561  1.1238305670D-05  3.2902404041D-05 -4.6826300421D-03  5.4784001544D-03  6.5222825055D+00  4.0544381828D+01
   562  1.1261423228D-05  3.2977613999D-05 -4.6922623679D-03  5.4846579792D-03  6.5222824938D+00  4.0544381681D+01
   563  1.1284588339D-05  3.3052995876D-05 -4.7019145073D-03  5.4909229522D-03  6.5222824819D+00  4.0544381532D+01
   564  1.1307801102D-05  3.3128550065D-05 -4.7115865018D-03  5.4971950814D-03  6.5222824698D+00  4.0544381385D+01
   565  1.1331061614D-05  3.3204276957D-05 -4.7212783921D-03  5.5034743751D-03  6.5222824579D+00  4.0544381235D+01
   566  1.1354369974D-05  3.3280176952D-05 -4.7309902183D-03  5.5097608414D-03  6.5222824459D+00  4.0544381087D+01
   567  1.1377726280D-05  3.3356250441D-05 -4.7407220226D-03  5.5160544886D-03  6.5222824339D+00  4.0544380937D+01
   568  1.1401130630D-05  3.3432497823D-05 -4.7504738456D-03  5.5223553248D-03  6.5222824218D+00  4.0544380788D+01
   569  1.1424583124D-05  3.3508919494D-05 -4.7602457283D-03  5.5286633583D-03  6.5222824098D+00  4.0544380637D+01
   570  1.1448083861D-05  3.3585515855D-05 -4.7700377122D-03  5.5349785973D-03  6.5222823977D+00  4.0544380487D+01
   571  1.1471632939D-05  3.3662287302D-05 -4.7798498383D-03  5.5413010499D-03  6.5222823855D+00  4.0544380337D+01
   572  1.1495230459D-05  3.3739234237D-05 -4.7896821485D-03  5.5476307244D-03  6.5222823734D+00  4.0544380185D+01
   573  1.1518876519D-05  3.3816357061D-05 -4.7995346840D-03  5.5539676293D-03  6.5222823612D+00  4.0544380034D+01
   574  1.1542571221D-05  3.3893656177D-05 -4.8094074866D-03  5.5603117724D-03  6.5222823490D+00  4.0544379882D+01
   575  1.1566314662D-05  3.3971131987D-05 -4.8193005978D-03  5.5666631624D-03  6.5222823368D+00  4.0544379730D+01
   576  1.1590106945D-05  3.4048784894D-05 -4.8292140595D-03  5.5730218074D-03  6.5222823246D+00  4.0544379577D+01
   577  1.1613948170D-05  3.4126615303D-05 -4.8391479138D-03  5.5793877155D-03  6.5222823122D+00  4.0544379424D+01
   578  1.1637838436D-05  3.4204623622D-05 -4.8491022021D-03  5.5857608954D-03  6.5222822999D+00  4.0544379271D+01
   579  1.1661777846D-05  3.4282810256D-05 -4.8590769666D-03  5.5921413550D-03  6.5222822875D+00  4.0544379118D+01
   580  1.1685766500D-05  3.4361175612D-05 -4.8690722500D-03  5.5985291029D-03  6.5222822751D+00  4.0544378964D+01
   581  1.1709804499D-05  3.4439720099D-05 -4.8790880936D-03  5.6049241473D-03  6.5222822628D+00  4.0544378810D+01
   582  1.1733891945D-05  3.4518444127D-05 -4.8891245405D-03  5.6113264966D-03  6.5222822504D+00  4.0544378655D+01
   583  1.1758028940D-05  3.4597348107D-05 -4.8991816324D-03  5.6177361591D-03  6.5222822379D+00  4.0544378500D+01
   584  1.1782215585D-05  3.4676432449D-05 -4.9092594123D-03  5.6241531430D-03  6.5222822254D+00  4.0544378345D+01
   585  1.1806451983D-05  3.4755697565D-05 -4.9193579223D-03  5.6305774571D-03  6.5222822129D+00  4.0544378189D+01
   586  1.1830738237D-05  3.4835143869D-05 -4.9294772056D-03  5.6370091093D-03  6.5222822003D+00  4.0544378033D+01
   587  1.1855074447D-05  3.4914771776D-05 -4.9396173045D-03  5.6434481083D-03  6.5222821877D+00  4.0544377876D+01
   588  1.1879460718D-05  3.4994581700D-05 -4.9497782621D-03  5.6498944622D-03  6.5222821751D+00  4.0544377720D+01
   589  1.1903897153D-05  3.5074574056D-05 -4.9599601206D-03  5.6563481797D-03  6.5222821625D+00  4.0544377562D+01
   590  1.1928383854D-05  3.5154749264D-05 -4.9701629240D-03  5.6628092690D-03  6.5222821498D+00  4.0544377406D+01
   591  1.1952920925D-05  3.5235107740D-05 -4.9803867148D-03  5.6692777387D-03  6.5222821371D+00  4.0544377247D+01
   592  1.1977508469D-05  3.5315649902D-05 -4.9906315364D-03  5.6757535971D-03  6.5222821245D+00  4.0544377089D+01
   593  1.2002146591D-05  3.5396376172D-05 -5.0008974319D-03  5.6822368526D-03  6.5222821117D+00  4.0544376930D+01
   594  1.2026835395D-05  3.5477286970D-05 -5.0111844447D-03  5.6887275137D-03  6.5222820989D+00  4.0544376772D+01
   595  1.2051574983D-05  3.5558382718D-05 -5.0214926182D-03  5.6952255889D-03  6.5222820861D+00  4.0544376613D+01
   596  1.2076365463D-05  3.5639663838D-05 -5.0318219961D-03  5.7017310867D-03  6.5222820732D+00  4.0544376453D+01
   597  1.2101206936D-05  3.5721130754D-05 -5.0421726221D-03  5.7082440156D-03  6.5222820604D+00  4.0544376293D+01
   598  1.2126099510D-05  3.5802783892D-05 -5.0525445393D-03  5.7147643839D-03  6.5222820475D+00  4.0544376133D+01
   599  1.2151043288D-05  3.5884623676D-05 -5.0629377919D-03  5.7212922003D-03  6.5222820345D+00  4.0544375972D+01
   600  1.2176038377D-05  3.5966650532D-05 -5.0733524238D-03  5.7278274731D-03  6.5222820215D+00  4.0544375811D+01
   601  1.2201084881D-05  3.6048864890D-05 -5.0837884793D-03  5.7343702110D-03  6.5222820085D+00  4.0544375650D+01
   602  1.2226182907D-05  3.6131267177D-05 -5.0942460018D-03  5.7409204225D-03  6.5222819956D+00  4.0544375487D+01
   603  1.2251332560D-05  3.6213857824D-05 -5.1047250361D-03  5.7474781160D-03  6.5222819826D+00  4.0544375325D+01
   604  1.2276533947D-05  3.6296637260D-05 -5.1152256257D-03  5.7540433002D-03  6.5222819695D+00  4.0544375163D+01
   605  1.2301787174D-05  3.6379605917D-05 -5.1257478158D-03  5.7606159836D-03  6.5222819564D+00  4.0544375000D+01
   606  1.2327092348D-05  3.6462764228D-05 -5.1362916500D-03  5.7671961748D-03  6.5222819432D+00  4.0544374836D+01
   607  1.2352449575D-05  3.6546112625D-05 -5.1468571737D-03  5.7737838824D-03  6.5222819300D+00  4.0544374673D+01
   608  1.2377858963D-05  3.6629651545D-05 -5.1574444309D-03  5.7803791148D-03  6.5222819169D+00  4.0544374509D+01
   609  1.2403320619D-05  3.6713381422D-05 -5.1680534665D-03  5.7869818808D-03  6.5222819037D+00  4.0544374345D+01
   610  1.2428834650D-05  3.6797302693D-05 -5.1786843249D-03  5.7935921889D-03  6.5222818903D+00  4.0544374179D+01
   611  1.2454401164D-05  3.6881415794D-05 -5.1893370515D-03  5.8002100478D-03  6.5222818771D+00  4.0544374014D+01
   612  1.2480020270D-05  3.6965721166D-05 -5.2000116914D-03  5.8068354661D-03  6.5222818638D+00  4.0544373849D+01
   613  1.2505692075D-05  3.7050219246D-05 -5.2107082893D-03  5.8134684523D-03  6.5222818504D+00  4.0544373683D+01
   614  1.2531416687D-05  3.7134910476D-05 -5.2214268904D-03  5.8201090153D-03  6.5222818371D+00  4.0544373516D+01
   615  1.2557194216D-05  3.7219795298D-05 -5.2321675400D-03  5.8267571634D-03  6.5222818236D+00  4.0544373349D+01
   616  1.2583024770D-05  3.7304874153D-05 -5.2429302835D-03  5.8334129055D-03  6.5222818102D+00  4.0544373183D+01
   617  1.2608908459D-05  3.7390147485D-05 -5.2537151665D-03  5.8400762504D-03  6.5222817968D+00  4.0544373016D+01
   618  1.2634845391D-05  3.7475615740D-05 -5.2645222346D-03  5.8467472065D-03  6.5222817832D+00  4.0544372848D+01
   619  1.2660835676D-05  3.7561279360D-05 -5.2753515328D-03  5.8534257827D-03  6.5222817697D+00  4.0544372680D+01
   620  1.2686879424D-05  3.7647138796D-05 -5.2862031072D-03  5.8601119877D-03  6.5222817561D+00  4.0544372510D+01
   621  1.2712976745D-05  3.7733194494D-05 -5.2970770038D-03  5.8668058299D-03  6.5222817425D+00  4.0544372341D+01
   622  1.2739127749D-05  3.7819446900D-05 -5.3079732687D-03  5.8735073184D-03  6.5222817290D+00  4.0544372172D+01
   623  1.2765332546D-05  3.7905896467D-05 -5.3188919471D-03  5.8802164619D-03  6.5222817153D+00  4.0544372003D+01
   624  1.2791591248D-05  3.7992543645D-05 -5.3298330861D-03  5.8869332689D-03  6.5222817015D+00  4.0544371833D+01
   625  1.2817903964D-05  3.8079388884D-05 -5.3407967309D-03  5.8936577483D-03  6.5222816878D+00  4.0544371661D+01
   626  1.2844270807D-05  3.8166432638D-05 -5.3517829287D-03  5.9003899089D-03  6.5222816741D+00  4.0544371491D+01
   627  1.2870691887D-05  3.8253675361D-05 -5.3627917252D-03  5.9071297595D-03  6.5222816603D+00  4.0544371319D+01
   628  1.2897167316D-05  3.8341117508D-05 -5.3738231674D-03  5.9138773087D-03  6.5222816465D+00  4.0544371148D+01
   629  1.2923697205D-05  3.8428759534D-05 -5.3848773018D-03  5.9206325655D-03  6.5222816326D+00  4.0544370975D+01
   630  1.2950281668D-05  3.8516601897D-05 -5.3959541747D-03  5.9273955386D-03  6.5222816188D+00  4.0544370803D+01
   631  1.2976920816D-05  3.8604645052D-05 -5.4070538328D-03  5.9341662367D-03  6.5222816049D+00  4.0544370630D+01
   632  1.3003614761D-05  3.8692889462D-05 -5.4181763238D-03  5.9409446689D-03  6.5222815909D+00  4.0544370456D+01
   633  1.3030363617D-05  3.8781335585D-05 -5.4293216940D-03  5.9477308439D-03  6.5222815770D+00  4.0544370284D+01
   634  1.3057167496D-05  3.8869983882D-05 -5.4404899908D-03  5.9545247705D-03  6.5222815630D+00  4.0544370109D+01
   635  1.3084026511D-05  3.8958834815D-05 -5.4516812610D-03  5.9613264576D-03  6.5222815489D+00  4.0544369935D+01
   636  1.3110940776D-05  3.9047888849D-05 -5.4628955519D-03  5.9681359139D-03  6.5222815349D+00  4.0544369760D+01
   637  1.3137910405D-05  3.9137146445D-05 -5.4741329112D-03  5.9749531487D-03  6.5222815208D+00  4.0544369584D+01
   638  1.3164935511D-05  3.9226608072D-05 -5.4853933860D-03  5.9817781704D-03  6.5222815066D+00  4.0544369409D+01
   639  1.3192016209D-05  3.9316274193D-05 -5.4966770244D-03  5.9886109881D-03  6.5222814925D+00  4.0544369233D+01
   640  1.3219152612D-05  3.9406145277D-05 -5.5079838732D-03  5.9954516109D-03  6.5222814782D+00  4.0544369056D+01
   641  1.3246344836D-05  3.9496221794D-05 -5.5193139806D-03  6.0023000473D-03  6.5222814640D+00  4.0544368880D+01
   642  1.3273592996D-05  3.9586504211D-05 -5.5306673949D-03  6.0091563066D-03  6.5222814499D+00  4.0544368702D+01
   643  1.3300897205D-05  3.9676993001D-05 -5.5420441631D-03  6.0160203974D-03  6.5222814355D+00  4.0544368524D+01
   644  1.3328257580D-05  3.9767688633D-05 -5.5534443335D-03  6.0228923290D-03  6.5222814212D+00  4.0544368346D+01
   645  1.3355674237D-05  3.9858591581D-05 -5.5648679551D-03  6.0297721102D-03  6.5222814068D+00  4.0544368168D+01
   646  1.3383147290D-05  3.9949702321D-05 -5.5763150755D-03  6.0366597499D-03  6.5222813924D+00  4.0544367989D+01
   647  1.3410676857D-05  4.0041021324D-05 -5.5877857424D-03  6.0435552572D-03  6.5222813781D+00  4.0544367810D+01
   648  1.3438263052D-05  4.0132549069D-05 -5.5992800053D-03  6.0504586409D-03  6.5222813635D+00  4.0544367630D+01
   649  1.3465905994D-05  4.0224286033D-05 -5.6107979120D-03  6.0573699102D-03  6.5222813491D+00  4.0544367450D+01
   650  1.3493605797D-05  4.0316232694D-05 -5.6223395117D-03  6.0642890740D-03  6.5222813345D+00  4.0544367269D+01
   651  1.3521362580D-05  4.0408389531D-05 -5.6339048530D-03  6.0712161414D-03  6.5222813200D+00  4.0544367088D+01
   652  1.3549176460D-05  4.0500757023D-05 -5.6454939845D-03  6.0781511212D-03  6.5222813054D+00  4.0544366906D+01
   653  1.3577047553D-05  4.0593335654D-05 -5.6571069552D-03  6.0850940228D-03  6.5222812908D+00  4.0544366725D+01
   654  1.3604975979D-05  4.0686125905D-05 -5.6687438142D-03  6.0920448550D-03  6.5222812761D+00  4.0544366543D+01
   655  1.3632961854D-05  4.0779128260D-05 -5.6804046106D-03  6.0990036269D-03  6.5222812614D+00  4.0544366360D+01
   656  1.3661005297D-05  4.0872343205D-05 -5.6920893937D-03  6.1059703475D-03  6.5222812467D+00  4.0544366177D+01
   657  1.3689106426D-05  4.0965771224D-05 -5.7037982128D-03  6.1129450260D-03  6.5222812320D+00  4.0544365994D+01
   658  1.3717265360D-05  4.1059412805D-05 -5.7155311173D-03  6.1199276715D-03  6.5222812172D+00  4.0544365810D+01
   659  1.3745482218D-05  4.1153268438D-05 -5.7272881568D-03  6.1269182931D-03  6.5222812024D+00  4.0544365626D+01
   660  1.3773757119D-05  4.1247338609D-05 -5.7390693813D-03  6.1339168998D-03  6.5222811875D+00  4.0544365440D+01
   661  1.3802090183D-05  4.1341623811D-05 -5.7508748399D-03  6.1409235007D-03  6.5222811726D+00  4.0544365255D+01
   662  1.3830481528D-05  4.1436124533D-05 -5.7627045826D-03  6.1479381050D-03  6.5222811576D+00  4.0544365070D+01
